"DSSTox_RID","DSSTox_CID","DSSTox_Generic_SID","DSSTox_FileID","STRUCTURE_Formula","STRUCTURE_MolecularWeight","STRUCTURE_ChemicalType","STRUCTURE_TestedForm_DefinedOrganic","STRUCTURE_Shown","TestSubstance_ChemicalName","TestSubstance_CASRN","TestSubstance_Description","ChemicalNote","STRUCTURE_ChemicalName_IUPAC","STRUCTURE_SMILES","STRUCTURE_Parent_SMILES","STRUCTURE_InChI","STRUCTURE_InChIKey","StudyType","Endpoint","Species","ActivityOutcome_CPDBAS_Mutagenicity","TD50_Rat_mg","TD50_Rat_mmol","ActivityScore_CPDBAS_Rat","TD50_Rat_Note","TargetSites_Rat_Male","TargetSites_Rat_Female","TargetSites_Rat_BothSexes","ActivityOutcome_CPDBAS_Rat","TD50_Mouse_mg","TD50_Mouse_mmol","ActivityScore_CPDBAS_Mouse","TD50_Mouse_Note","TargetSites_Mouse_Male","TargetSites_Mouse_Female","TargetSites_Mouse_BothSexes","ActivityOutcome_CPDBAS_Mouse","TD50_Hamster_mg","TD50_Hamster_mmol","ActivityScore_CPDBAS_Hamster","TD50_Hamster_Note","TargetSites_Hamster_Male","TargetSites_Hamster_Female","TargetSites_Hamster_BothSexes","ActivityOutcome_CPDBAS_Hamster","TD50_Dog_mg","TargetSites_Dog","TD50_Rhesus_mg","TargetSites_Rhesus","TD50_Cynomolgus_mg","TargetSites_Cynomolgus","TD50_Dog_Primates_Note","ActivityOutcome_CPDBAS_Dog_Primates","ActivityOutcome_CPDBAS_SingleCellCall","ActivityOutcome_CPDBAS_MultiCellCall","ActivityOutcome_CPDBAS_MultiCellCall_Details","Note_CPDBAS","NTP_TechnicalReport","ChemicalPage_URL"
20368,368,20368,"383_CPDBAS_v5d","C11H8BrNaO4",307.0726,"defined organic","salt Na","tested chemical","Cytembena","21739-91-3","single chemical compound","parent [5711-40-0]","sodium (2E)-3-bromo-4-(4-methoxyphenyl)-4-oxobut-2-enoate","O=C(/C=C(C(C1=CC=C(C=C1)OC)=O)/Br)[O-].[Na+]","O=C(/C=C(C(C1=CC=C(C=C1)OC)=O)/Br)O","InChI=1/C11H9BrO4.Na/c1-16-8-4-2-7(3-5-8)11(15)9(12)6-10(13)14;/h2-6H,1H3,(H,13,14);/q;+1/p-1/b9-6+;/fC11H8BrO4.Na/q-1;m","DVDCIQWIGOVWEX-HAFRGVTFDX","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",2.77,0.00902,47,"positive test results only by intraperitoneal or intravenous injection; TD50 is harmonic mean of more than one positive test ","peritoneal cavity","mammary gland",,"active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active",,"TR 207","http://potency.berkeley.edu/chempages/CYTEMBENA.html"
20369,369,20369,"384_CPDBAS_v5d","C6H10N6O",182.1832,"defined organic","parent ","tested chemical","Dacarbazine","4342-03-4","single chemical compound","tautomers","4-[(1E)-3,3-dimethyltriaz-1-en-1-yl]-1H-imidazole-5-carboxamide","O=C(N)C1=C(N=CN1)/N=N/N(C)C","O=C(N)C1=C(N=CN1)/N=N/N(C)C","InChI=1/C6H10N6O/c1-12(2)11-10-6-4(5(7)13)8-3-9-6/h3H,1-2H3,(H2,7,13)(H,8,9)/b11-10+/f/h8H,7H2","FDKXTQMXEQVLRF-WXKHNMGTDH","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",0.71,0.0039,51,,,"hematopoietic system; mammary gland; uterus",,"active",0.966,0.0053,54,"positive test results only by intraperitoneal or intravenous injection; TD50 is harmonic mean of more than one positive test","hematopoietic system; lung; vascular system","hematopoietic system; lung; uterus; vascular system",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,,"http://potency.berkeley.edu/chempages/DACARBAZINE.html"
20370,370,20370,"385_CPDBAS_v5d","C6H12N2O3",160.1711,"defined organic","parent ","tested chemical","Daminozide","1596-84-5","single chemical compound",,"4-(2,2-dimethylhydrazino)-4-oxobutanoic acid","O=C(CCC(=O)O)NN(C)C","O=C(CCC(=O)O)NN(C)C","InChI=1/C6H12N2O3/c1-8(2)7-5(9)3-4-6(10)11/h3-4H2,1-2H3,(H,7,9)(H,10,11)/f/h7,10H","NOQGZXFMHARMLW-BVBTXPNWCL","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",2500,15.6,13,"no positive results are statistically significant","no positive results","uterus",,"active",1030,6.43,19,"TD50 is harmonic mean of more than one positive test","kidney; lung; vascular system","lung; vascular system",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,"TR 83; final call in CPDB differs due to additional data","http://potency.berkeley.edu/chempages/DAMINOZIDE.html"
20371,371,20371,"386_CPDBAS_v5d","C12H12N2O2S",248.3009,"defined organic","parent ","tested chemical","Dapsone","80-08-0","single chemical compound",,"4,4'-sulfonyldianiline","O=S(=O)(C1=CC=C(C=C1)N)C2=CC=C(C=C2)N","O=S(=O)(C1=CC=C(C=C1)N)C2=CC=C(C=C2)N","InChI=1/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2","MQJKPEGWNLWLTK-UHFFFAOYAJ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",22.4,0.0902,37,,"peritoneal cavity; spleen","no positive results",,"active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"active","active","multisite active",,"TR 20","http://potency.berkeley.edu/chempages/DAPSONE.html"
20372,372,20372,"387_CPDBAS_v5d","C14H10Cl4",320.0412,"defined organic","parent ","tested chemical","o,p'-DDD","53-19-0","single chemical compound",,"1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene","ClC(C(C1=C(C=CC=C1)Cl)C2=CC=C(C=C2)Cl)Cl","ClC(C(C1=C(C=CC=C1)Cl)C2=CC=C(C=C2)Cl)Cl","InChI=1/C14H10Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8,13-14H","JWBOIMRXGHLCPP-UHFFFAOYAD","Carcinogenicity","TD50; Tumor Target Sites","mouse","inactive",,,,,,,,,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/o,p'-DDD.html"
20373,373,20373,"388_CPDBAS_v5d","C14H10Cl4",320.0412,"defined organic","parent ","tested chemical","p,p'-DDD","72-54-8","single chemical compound",,"1,1'-(2,2-dichloroethane-1,1-diyl)bis(4-chlorobenzene)","ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl","ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl","InChI=1/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H","AHJKRLASYNVKDZ-UHFFFAOYAJ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",30.7,0.0959,40,"TD50 is harmonic mean of more than one positive test","liver; lung","lung",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active",,"TR 131","http://potency.berkeley.edu/chempages/p,p'-DDD.html"
20374,374,20374,"389_CPDBAS_v5d","C14H8Cl4",318.0253,"defined organic","parent ","tested chemical","p,p'-DDE","72-55-9","single chemical compound",,"1,1'-(2,2-dichloroethene-1,1-diyl)bis(4-chlorobenzene)","ClC(=C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl","ClC(=C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl","InChI=1/C14H8Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8H","UCNVFOCBFJOQAL-UHFFFAOYAE","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse; hamster","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",12.5,0.0393,44,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",202,0.635,31,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",,,,,,,,,"active","active","multisex active; multispecies active",,"TR 131","http://potency.berkeley.edu/chempages/p,p'-DDE.html"
20375,375,20375,"390_CPDBAS_v5d","C14H9Cl5",354.4863,"defined organic","parent ","tested chemical","DDT","50-29-3","single chemical compound",,"1,1'-(2,2,2-trichloroethane-1,1-diyl)bis(4-chlorobenzene)","ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)(Cl)Cl","ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)(Cl)Cl","InChI=1/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H","YVGGHNCTFXOJCH-UHFFFAOYAJ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse; hamster; rhesus; cynomolgus","inactive",84.7,0.239,32,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",12.8,0.0361,45,"TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results","hematopoietic system; liver; lung","hematopoietic system; liver; lung",,"active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,"no positive results",,"no positive results","no positive results for Rhesus and Cynomolgus","inactive","active","active","multisite active; multisex active; multispecies active",,"TR 131","http://potency.berkeley.edu/chempages/DDT.html"
20376,376,20376,"391_CPDBAS_v5d","C12Br10O",959.1678,"defined organic","parent ","tested chemical","Decabromodiphenyl oxide","1163-19-5","single chemical compound",,"1,1'-oxybis(pentabromobenzene)","BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br","BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br","InChI=1/C12Br10O/c13-1-3(15)7(19)11(8(20)4(1)16)23-12-9(21)5(17)2(14)6(18)10(12)22","WHHGLZMJPXIBIX-UHFFFAOYAY","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",3340,3.48,20,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"active","active","multisex active",,"TR 309","http://potency.berkeley.edu/chempages/DECABROMODIPHENYL%20OXIDE.html"
20377,376,20377,"392_CPDBAS_v5d","C12Br10O",959.1678,"defined organic","parent ","representative component in mixture","Decabromodiphenyl oxide, technical grade (77.4% DBDPO, 21.8% nonabromodiphenyl oxide, 0.8% octabromodiphenyl oxide) ","1163-19-5","mixture or formulation","mixture of decabromodiphenyloxide [1163-19-5], nonabromadiohenyl oxide [63936-56-1], octabromodiphenyl oxide [32536-52-0], structure shown decabromodiphenyloxide","1,1'-oxybis(pentabromobenzene)","BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br","BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br","InChI=1/C12Br10O/c13-1-3(15)7(19)11(8(20)4(1)16)23-12-9(21)5(17)2(14)6(18)10(12)22","WHHGLZMJPXIBIX-UHFFFAOYAY","Carcinogenicity","TD50; Tumor Target Sites","rat","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","Rat added v3a; chemical added v3a",,"http://potency.berkeley.edu/chempages/DECABROMODIPHENYL%20OXIDE,%20TECHNICAL%20GRADE%20(77.4%25%20DB.html"
20378,378,20378,"393_CPDBAS_v5d","C25H31NO6",441.5167,"defined organic","parent ","tested chemical","Deflazacort","14484-47-0","single chemical compound","stereochem, tautomers","2-[(4aR,4bS,5S,6aS,6bS,9aR,10aS,10bS)-5-hydroxy-4a,6a,8-trimethyl-2-oxo-2,4a,4b,5,6,6a,9a,10,10a,10b,11,12-dodecahydro-6bH-naphtho[2',1':4,5]indeno[1,2-d][1,3]oxazol-6b-yl]-2-oxoethyl acetate","CC(=O)OCC(=O)[C@@]53/N=C(/C)O[C@@H]5C[C@H]2[C@@H]4CC\C1=C\C(=O)\C=C/[C@]1(C)[C@H]4[C@@H](O)C[C@@]23C","CC(=O)OCC(=O)[C@@]53/N=C(/C)O[C@@H]5C[C@H]2[C@@H]4CC\C1=C\C(=O)\C=C/[C@]1(C)[C@H]4[C@@H](O)C[C@@]23C","InChI=1/C25H31NO6/c1-13-26-25(20(30)12-31-14(2)27)21(32-13)10-18-17-6-5-15-9-16(28)7-8-23(15,3)22(17)19(29)11-24(18,25)4/h7-9,17-19,21-22,29H,5-6,10-12H2,1-4H3/t17-,18-,19-,21+,22+,23-,24-,25+/m0/s1","FBHSPRKOSMHSIF-GRMWVWQJBC","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,50,"TD50 not calculated by CPDB Source; TD50_Rat_mmol was not calculated, but Activiity Score is assigned value of ""50"" to indicate active","bone","no positive results",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active",,,"Rat added v2a",,"http://potency.berkeley.edu/chempages/DEFLAZACORT.html"
20379,379,20379,"394_CPDBAS_v5d","C19H28O2",288.4244,"defined organic","parent ","tested chemical","Dehydroepiandrosterone","53-43-0","single chemical compound","stereochem","(3beta)-3-hydroxyandrost-5-en-17-one","O[C@@H]3C\C4=C\C[C@@H]2[C@H](CC[C@]1(C)C(=O)CC[C@H]12)[C@@]4(C)CC3","O[C@@H]3C\C4=C\C[C@@H]2[C@H](CC[C@]1(C)C(=O)CC[C@H]12)[C@@]4(C)CC3","InChI=1/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-16,20H,4-11H2,1-2H3/t13-,14-,15-,16-,18-,19-/m0/s1","FMGSKLZLMKYGDP-USOAJAOKBL","Carcinogenicity","TD50; Tumor Target Sites","rat",,83.5,0.29,31,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisex active","TD50 modified v3a; TargetSites_Rat modified v3a",,"http://potency.berkeley.edu/chempages/DEHYDROEPIANDROSTERONE.html"
20380,380,20380,"395_CPDBAS_v5d","C21H30O3",330.4611,"defined organic","parent ","tested chemical","Dehydroepiandrosterone acetate","853-23-6","single chemical compound","stereochem","(3beta)-17-oxoandrost-5-en-3-yl acetate","CC(=O)O[C@@H]3C\C4=C\C[C@@H]2[C@H](CC[C@]1(C)C(=O)CC[C@H]12)[C@@]4(C)CC3","CC(=O)O[C@@H]3C\C4=C\C[C@@H]2[C@H](CC[C@]1(C)C(=O)CC[C@H]12)[C@@]4(C)CC3","InChI=1/C21H30O3/c1-13(22)24-15-8-10-20(2)14(12-15)4-5-16-17-6-7-19(23)21(17,3)11-9-18(16)20/h4,15-18H,5-12H2,1-3H3/t15-,16-,17-,18-,20-,21-/m0/s1","NCMZQTLCXHGLOK-ZKHIMWLXBR","Carcinogenicity","TD50; Tumor Target Sites","rat",,49.6,0.15,34,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisex active","Rat modified v5a",,"http://potency.berkeley.edu/chempages/DEHYDROEPIANDROSTERONE%20ACETATE.html"
40785,20228,40228,"396_CPDBAS_v5d","C19H28O5S",368.4872,"defined organic","parent ","tested chemical","Dehydroepiandrosterone sulfate","651-48-9","single chemical compound","stereochem","(3beta)-17-oxoandrost-5-en-3-yl hydrogen sulfate","O=C3[C@@]2(C)CC[C@]1([H])[C@](CC[C@H](OS(=O)(O)=O)C4)(C)C4=CC[C@]([H])1[C@@]([H])2CC3","O=C3[C@@]2(C)CC[C@]1([H])[C@](CC[C@H](OS(=O)(O)=O)C4)(C)C4=CC[C@]([H])1[C@@]([H])2CC3","InChI=1/C19H28O5S/c1-18-9-7-13(24-25(21,22)23)11-12(18)3-4-14-15-5-6-17(20)19(15,2)10-8-16(14)18/h3,13-16H,4-11H2,1-2H3,(H,21,22,23)/t13-,14-,15-,16-,18-,19-/m0/s1/f/h21H","CZWCKYRVOZZJNM-USHNPXJKDC","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","Mouse added v5a; chemical added v5a",,"http://potency.berkeley.edu/chempages/DEHYDROEPIANDROSTERONE%20SULFATE.html"
20381,381,20381,"397_CPDBAS_v5d","C22H19Br2NO3",505.1992,"defined organic","parent ","tested chemical","Deltamethrin","52918-63-5","single chemical compound","stereochem","(S)-cyano[3-(phenyloxy)phenyl]methyl (1R,3R)-3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropanecarboxylate","Br/C(Br)=C/[C@H]3[C@@H](C(=O)O[C@H](C#N)c2cccc(Oc1ccccc1)c2)C3(C)C","Br/C(Br)=C/[C@H]3[C@@H](C(=O)O[C@H](C#N)c2cccc(Oc1ccccc1)c2)C3(C)C","InChI=1/C22H19Br2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3/t17-,18+,20-/m0/s1","OWZREIFADZCYQD-NSHGMRRFBN","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive","Mutagenicity_SAL_CPDB added v3a",,"http://potency.berkeley.edu/chempages/DELTAMETHRIN.html"
20382,382,20382,"398_CPDBAS_v5d","C15H20O6",296.3157,"defined organic","parent ","tested chemical","Deoxynivalenol","51481-10-8","single chemical compound","stereochem, tautomers","(3alpha,7alpha)-3,7,15-trihydroxy-12,13-epoxytrichothec-9-en-8-one","O[C@@H]1C(=O)C(\C)=C/[C@H]2O[C@@H]4[C@H](O)C[C@](C)([C@@]12CO)[C@@]34CO3","O[C@@H]1C(=O)C(\C)=C/[C@H]2O[C@@H]4[C@H](O)C[C@](C)([C@@]12CO)[C@@]34CO3","InChI=1/C15H20O6/c1-7-3-9-14(5-16,11(19)10(7)18)13(2)4-8(17)12(21-9)15(13)6-20-15/h3,8-9,11-12,16-17,19H,4-6H2,1-2H3/t8-,9-,11-,12-,13-,14-,15+/m1/s1","LINOMUASTDIRTM-QGRHZQQGBF","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,,,0,"no positive results","no positive results",,,"inactive",,,,,,,,,,,,,,,,,"inactive",,,"Mouse added v2a",,"http://potency.berkeley.edu/chempages/DEOXYNIVALENOL.html"
20383,383,20383,"399_CPDBAS_v5d","C32H38N2O8",578.65272,"defined organic","parent ","tested chemical","Deserpidine","131-01-1","single chemical compound","stereochem, tautomers","methyl (3beta,16beta,17alpha,18beta,20alpha)-17-(methyloxy)-18-({[3,4,5-tris(methyloxy)phenyl]carbonyl}oxy)yohimban-16-carboxylate","O=C(C4=CC(OC)=C(C(OC)=C4)OC)O[C@@H]1C[C@@]3([H])[C@@](C[C@](N5C3)([H])C2=C(CC5)C(C=CC=C6)=C6N2)([H])[C@H]([C@](OC)=O)[C@H]1OC","O=C(C4=CC(OC)=C(C(OC)=C4)OC)O[C@@H]1C[C@@]3([H])[C@@](C[C@](N5C3)([H])C2=C(CC5)C(C=CC=C6)=C6N2)([H])[C@H]([C@](OC)=O)[C@H]1OC","InChI=1/C32H38N2O8/c1-37-24-12-17(13-25(38-2)29(24)39-3)31(35)42-26-14-18-16-34-11-10-20-19-8-6-7-9-22(19)33-28(20)23(34)15-21(18)27(30(26)40-4)32(36)41-5/h6-9,12-13,18,21,23,26-27,30,33H,10-11,14-16H2,1-5H3/t18-,21+,23-,26-,27+,30+/m1/s1","CVBMAZKKCSYWQR-WCGOZPBSBL","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results",,,"no positive results","inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive",,,"TD50_Rat modified v3a",,"http://potency.berkeley.edu/chempages/DESERPIDINE.html"
20384,384,20384,"400_CPDBAS_v5d","C22H29FO5",392.4611,"defined organic","parent ","tested chemical","Dexamethazone","50-02-2","single chemical compound","stereochem, tautomers","(11beta,16alpha)-9-fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione","OCC(=O)[C@@]4(O)[C@H](C)C[C@@H]1[C@]4(C)C[C@H](O)[C@]2(F)[C@@]3(C)/C=C\C(=O)/C=C3/CC[C@@H]12","OCC(=O)[C@@]4(O)[C@H](C)C[C@@H]1[C@]4(C)C[C@H](O)[C@]2(F)[C@@]3(C)/C=C\C(=O)/C=C3/CC[C@@H]12","InChI=1/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1","UREBDLICKHMUKA-CXSFZGCWBM","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results",,,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive",,,,,"http://potency.berkeley.edu/chempages/DEXAMETHAZONE.html"
20385,,20385,"401_CPDBAS_v5d",,,"no structure",,"no structure","Dextran","9004-54-0","macromolecule",,,,,"InChI=1//","MOSFIJXAXDLOML-UHFFFAOYAM","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/DEXTRAN.html"
20386,,20386,"402_CPDBAS_v5d",,,"no structure",,"no structure","Dextran sulfate sodium (DS-M-1)","9011-18-1","macromolecule",,,,,"InChI=1//","MOSFIJXAXDLOML-UHFFFAOYAM","Carcinogenicity","TD50; Tumor Target Sites","rat",,196,,50,"TD50 is harmonic mean of more than one positive test; TD50_Rat_mmol was not calculated for this mixture, but Activiity Score is assigned value of ""50"" to indicate active","large intestine","large intestine",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisex active","TD50_Rat_mmol conversion from mg value not provided due substance being a macromolecule",,"http://potency.berkeley.edu/chempages/DEXTRAN%20SULFATE%20SODIUM%20(DS-M-1).html"
20387,,20387,"403_CPDBAS_v5d",,,"no structure",,"no structure","Dextran sulfate sodium (DST-H)","9011-18-1","macromolecule",,,,,"InChI=1//","MOSFIJXAXDLOML-UHFFFAOYAM","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/DEXTRAN%20SULFATE%20SODIUM%20(DST-H).html"
20388,,20388,"404_CPDBAS_v5d",,,"no structure",,"no structure","Dextran sulfate sodium (KMDS-H)","9011-18-1","macromolecule",,,,,"InChI=1//","MOSFIJXAXDLOML-UHFFFAOYAM","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/DEXTRAN%20SULFATE%20SODIUM%20(KMDS-H).html"
20389,389,20389,"405_CPDBAS_v5d","C17H15NO2",265.311,"defined organic","parent ","tested chemical","N-1-Diacetamidofluorene","63019-65-8","single chemical compound",,"N-acetyl-N-9H-fluoren-1-ylacetamide","CC(N(C1=CC=CC2=C1CC3=C2C=CC=C3)C(C)=O)=O","CC(N(C1=CC=CC2=C1CC3=C2C=CC=C3)C(C)=O)=O","InChI=1/C17H15NO2/c1-11(19)18(12(2)20)17-9-5-8-15-14-7-4-3-6-13(14)10-16(15)17/h3-9H,10H2,1-2H3","SKNCUWLBDFPISU-UHFFFAOYAX","Carcinogenicity","TD50; Tumor Target Sites","rat",,19,0.0716,38,,,"ear Zymbals gland; mammary gland",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisite active",,,"http://potency.berkeley.edu/chempages/N-1-DIACETAMIDOFLUORENE.html"
20390,390,20390,"406_CPDBAS_v5d","C4H8N2O2",116.1194,"defined organic","parent ","tested chemical","Diacetyl hydrazine","3148-73-0","single chemical compound",,"N'-acetylacetohydrazide","CC(=O)NNC(=O)C","CC(=O)NNC(=O)C","InChI=1/C4H8N2O2/c1-3(7)5-6-4(2)8/h1-2H3,(H,5,7)(H,6,8)/f/h5-6H","ZLHNYIHIHQEHJQ-JYEHRPOACF","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/DIACETYL%20HYDRAZINE.html"
20391,391,20391,"407_CPDBAS_v5d","C10H17Cl2NOS",270.2164,"defined organic","parent ","representative isomer in mixture","Diallate","2303-16-4","mixture or formulation","mixture of Z,E isomers structure shown 2Z","S-[(2Z)-2,3-dichloroprop-2-en-1-yl] bis(1-methylethyl)thiocarbamate","CC(C)N(C(=O)SCC(\Cl)=C\Cl)C(C)C","CC(C)N(C(=O)SCC(\Cl)=C\Cl)C(C)C","InChI=1/C10H17Cl2NOS/c1-7(2)13(8(3)4)10(14)15-6-9(12)5-11/h5,7-8H,6H2,1-4H3/b9-5-","SPANOECCGNXGNR-UITAMQMPBQ","Carcinogenicity","TD50; Tumor Target Sites","mouse","active",,,,,,,,,26.7,0.0988,40,"TD50 is harmonic mean of more than one positive test","liver","no positive results",,"active",,,,,,,,,,,,,,,,,"active",,,,,"http://potency.berkeley.edu/chempages/DIALLATE.html"
20392,392,20392,"408_CPDBAS_v5d","C14H14O4",246.2586,"defined organic","parent ","tested chemical","Diallyl phthalate","131-17-9","single chemical compound",,"diallyl phthalate","O=C(C1=C(C=CC=C1)C(=O)OCC=C)OCC=C","O=C(C1=C(C=CC=C1)C(=O)OCC=C)OCC=C","InChI=1/C14H14O4/c1-3-9-17-13(15)11-7-5-6-8-12(11)14(16)18-10-4-2/h3-8H,1-2,9-10H2","QUDWYFHPNIMBFC-UHFFFAOYAG","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 242; TR 284","http://potency.berkeley.edu/chempages/DIALLYL%20PHTHALATE.html"
20393,393,20393,"409_CPDBAS_v5d","C6H12N2",112.1742,"defined organic","parent ","tested chemical","1,1-Diallylhydrazine","5164-11-4","single chemical compound",,"1,1-diprop-2-en-1-ylhydrazine","N(N)(CC=C)CC=C","N(N)(CC=C)CC=C","InChI=1/C6H12N2/c1-3-5-8(7)6-4-2/h3-4H,1-2,5-7H2","UPVLRUMEBXYJMQ-UHFFFAOYAM","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,29.6,0.264,35,"TD50 is harmonic mean of more than one positive test","lung; stomach","lung; stomach",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active",,,"http://potency.berkeley.edu/chempages/1,1-DIALLYLHYDRAZINE.html"
